model	percentile	io_type	io_size	latency
HFA	93	seqRead	16.0	7.408881141045958795562599049128367670
HFA	94	nsRead	128.0	9.537958415398388540734109221128021486
HFA	95	seqRead	16.0	9.933307692307692307692307692307692308
HFA	95	write	4.0	0.366827759197324414715719063545150502
HFA	96	write	128.0	1.438878403688229361763434663593142199
HFA	98	seqRead	64.0	20.225000000000000000000000000000000000
HFA	99	nsRead	8.0	8.880589972630755812204878342205780625
AFA	0	nsRead	4.0	0.000000000000000000000000000000000000
AFA	1	seqRead	32.0	0.004666666666666666666666666666666667
AFA	2	seqRead	8.0	0.007400000000000000000000000000000000
AFA	3	nsRead	0.0	0.001000000000000000000000000000000000
AFA	3	write	8.0	0.056076638738294726466239526860522425
AFA	4	write	16.0	0.073623520427644138984345169912180221
AFA	4	write	128.0	0.214667565139263252470799640610961366
AFA	6	write	4.0	0.050471313826735513482501434308663224
AFA	8	write	64.0	0.158522851919561243144424131627056673
AFA	8	write	512.0	0.825000000000000000000000000000000000
AFA	9	nsRead	512.0	1.302000000000000000000000000000000000
AFA	10	seqRead	512.0	0.144699742268041237113402061855670103
AFA	11	write	512.0	0.876526315789473684210526315789473684
AFA	13	nsRead	256.0	1.069828025477707006369426751592356688
AFA	13	seqRead	512.0	0.177545562130177514792899408284023669
AFA	14	write	128.0	0.249951143226919758412424503882657463
AFA	16	write	16.0	0.084041986541560041702208321486115060
AFA	18	seqRead	64.0	0.043126923076923076923076923076923077
AFA	23	seqRead	512.0	0.280912371134020618556701030927835052
AFA	25	write	128.0	0.273906250000000000000000000000000000
AFA	26	nsRead	2.0	0.224711538461538461538461538461538462
AFA	27	write	256.0	0.508168141592920353982300884955752212
AFA	29	nsRead	0.5	0.229322872340425531914893617021276596
AFA	29	nsRead	512.0	2.185600000000000000000000000000000000
AFA	29	write	256.0	0.515669015265894984063076664989095789
AFA	31	write	64.0	0.185248457424928013163307280954339778
AFA	33	nsRead	0.0	0.001166666666666666666666666666666667
AFA	33	nsRead	64.0	0.621500000000000000000000000000000000
AFA	33	write	128.0	0.289886363636363636363636363636363636
AFA	34	seqRead	8.0	0.133773722627737226277372262773722628
AFA	34	seqRead	64.0	0.099211061407076047173647824318828792
AFA	34	write	128.0	0.291874109263657957244655581947743468
AFA	38	seqRead	128.0	0.123402109568399526423420514476374987
AFA	39	nsRead	256.0	1.891812500000000000000000000000000000
AFA	41	nsRead	1.0	0.269365079365079365079365079365079365
AFA	41	write	128.0	0.305709677419354838709677419354838710
AFA	42	nsRead	512.0	2.868950000000000000000000000000000000
AFA	43	seqRead	32.0	0.234895833333333333333333333333333333
AFA	44	nsRead	2.0	0.290827586206896551724137931034482759
AFA	44	nsRead	128.0	1.178857142857142857142857142857142857
AFA	44	write	0.5	0.096314145744029393753827311696264544
AFA	46	nsRead	64.0	0.723693877551020408163265306122448980
AFA	46	nsRead	128.0	1.208310679611650485436893203883495146
AFA	46	seqRead	8.0	0.204030207677784770295783511642542480
AFA	47	seqRead	16.0	0.255790463398253861652115513767629281
AFA	47	write	0.0	0.000746250000000000000000000000000000
AFA	48	write	512.0	1.303840236686390532544378698224852071
AFA	49	write	128.0	0.321384449997291294219621864673059212
AFA	50	write	32.0	0.148007142857142857142857142857142857
AFA	51	nsRead	0.0	0.001291666666666666666666666666666667
AFA	52	nsRead	4.0	0.328235506312805977840762690028343211
AFA	52	nsRead	16.0	0.466708112953832362169430748543254146
AFA	52	write	16.0	0.103704672897196261682242990654205607
AFA	53	nsRead	4.0	0.330993802406124681006197593875318994
AFA	53	nsRead	128.0	1.310087239583333333333333333333333333
AFA	53	seqRead	32.0	0.325437500000000000000000000000000000
AFA	54	seqRead	64.0	0.221988965517241379310344827586206897
AFA	55	seqRead	4.0	0.191625000000000000000000000000000000
AFA	58	nsRead	512.0	3.686833333333333333333333333333333333
AFA	58	write	8.0	0.087444072835377183203270159791898922
